model,accuracy,f1,precision,recall,train_time_sec,params
BoW + LogisticRegression,0.7578343779170557,0.7657982976528244,0.7415084915084915,0.7917333333333333,39.53567385673523,
TF-IDF + LogisticRegression,0.7448993199093212,0.7533204384268214,0.7293383270911361,0.7789333333333334,6.824232339859009,
Word2Vec (avg) + LogisticRegression,0.7304973996532871,0.7298489506750434,0.7317073170731707,0.728,1.4194629192352295,
Siamese LSTM,0.7307641018802506,0.7539305301645338,0.6942760942760943,0.8248,33.23788142204285,
Siamese LSTM,0.7387651686891585,0.7495845583535728,0.7198625092069727,0.7818666666666667,30.454861164093018,2050561.0
Siamese GRU,0.7255634084544605,0.7411971830985915,0.7013326987148977,0.7858666666666667,30.091464519500732,
